chr	start	end	gene
chr1	36521180	36746450	MAP7D1
chr1	36590017	36870958	THRAP3
chr1	36671988	36890484	SH3D21
chr1	36687632	36889755	EVA1B
chr1	36689335	36894822	RP11-268J15.5
chr1	36705225	36951497	STK40
chr1	36756839	36963493	LSM10
chr1	36781428	37016086	OSCP1
chr1	36821319	37030038	MRPS15
chr1	36831644	37048879	CSF3R
chr1	37161128	37599730	GRIK3
chr1	37840153	38049980	ZC3H12A
chr1	37858176	38080375	MEAF6
chr1	37900050	38119903	SNIP1
chr1	37922520	38132458	DNALI1
chr1	37932417	38161536	GNL2
chr1	37976951	38200595	RSPO1
chr1	38047242	38257914	C1orf109
chr1	38058090	38275391	CDCA8
chr1	38079552	38330805	EPHA10
chr1	38159474	38366809	MANEAL
chr1	38168616	38373857	YRDC
chr1	38172651	38375126	C1orf122
chr1	38175239	38425292	MTF1
chr1	38192232	38393886	AL929472.1
chr1	38226369	38512729	INPP5B
chr1	38322647	38556593	SF3A3
chr1	38362442	38571278	FHL3
chr1	38374930	38590496	UTP11L
chr1	38409523	38612450	POU3F1
chr1	39203870	39425495	RRAGC
chr1	39228636	39447289	MYCBP
chr1	39230175	39447289	GJA9
chr1	39251479	39507471	RHBDL2
chr1	39356895	39571731	AKIRIN1
chr1	39391990	39600308	NDUFS5
chr1	39446988	40052849	MACF1
chr1	39776151	39982154	KIAA0754
chr1	39857318	40091607	BMP8A
chr1	39926488	40142462	PABPC4
chr1	39989825	40205617	HEYL
chr1	40024793	40237710	NT5C1A
chr1	40044320	40257361	HPCAL4
chr1	40057854	40329586	PPIE
chr1	40122854	40354533	BMP8B
chr1	40135195	40337020	OXCT2
chr1	40206723	40449183	TRIT1
chr1	40261098	40467928	MYCL
chr1	40320802	40535638	MFSD2A
chr1	40405905	40638321	CAP1
chr1	40438379	40663375	PPT1
chr1	40527045	40806593	RLF
chr1	40611619	40817363	TMCO2
chr1	40623779	40859856	ZMPSTE24
chr1	40666159	40883488	COL9A2
chr1	40710522	40988998	SMAP2
chr1	40815774	41029390	ZFP69B
chr1	40842887	41062015	ZFP69
chr1	40874413	41082228	EXO5
chr1	40897233	41113841	ZNF684
chr1	40986351	41231329	RIMS3
chr1	41057320	41337275	NFYC
chr1	41149684	41406124	KCNQ4
chr1	41226729	41428018	CITED4
chr1	41345007	41578235	CTPS1
chr1	41381269	41588909	SLFNL1
chr1	41392872	41807826	SCMH1
chr1	41727594	41949262	FOXO6
chr1	41844446	42050344	EDN2
chr1	41872036	42601596	HIVEP3
chr1	42519092	42721495	GUCA2B
chr1	42528362	42730389	GUCA2A
chr1	42542210	42901548	FOXJ3
chr1	42746466	42988249	RIMKLA
chr1	42796000	43021938	ZMYND12
chr1	42821788	43039056	PPCS
chr1	42829001	43220335	CCDC30
chr1	43024096	43242429	PPIH
chr1	43048098	43268020	YBX1
chr1	43098764	43305925	CLDN19
chr1	43112006	43332755	LEPRE1
chr1	43132940	43363968	C1orf50
chr1	43172723	43382954	CCDC23
chr1	43182795	43410660	ERMAP
chr1	43212280	43418148	ZNF691
chr1	43291052	43524530	SLC2A1
chr1	43510824	43722067	FAM183A
chr1	43529846	43836607	EBNA1BP2
chr1	43537820	43820029	WDR65
chr1	43635665	43839673	TMEM125
chr1	43647554	43851288	C1orf210
chr1	43666664	43888779	TIE1
chr1	43703478	43918443	MPL
chr1	43724626	43928874	CDC20
chr1	43729068	43933696	ELOVL1
chr1	43749588	43955479	MED8
chr1	43755553	44018321	SZT2
chr1	43816824	44019660	HYI
chr1	43890858	44189343	PTPRF
chr1	44015829	44271186	KDM4A
chr1	44071495	44496831	ST3GAL3
chr1	44298992	44502913	ARTN
chr1	44312611	44533694	IPO13
chr1	44335672	44539041	DPH2
chr1	44340159	44543967	ATP6V0B
chr1	44344615	44556840	B4GALT2
chr1	44357031	44562200	CCDC24
chr1	44357172	44597139	SLC6A9
chr1	44484522	44700812	KLF17
chr1	44579127	44786353	DMAP1
chr1	44586742	44920932	ERI3
chr1	44770866	45217396	RNF220
chr1	45000910	45240227	TMEM53
chr1	45040364	45291263	C1orf228
chr1	45105490	45333439	KIF2C
chr1	45140923	45344451	RPS8
chr1	45149257	45353377	BEST4
chr1	45165897	45371662	PLK3
chr1	45171585	45372957	TCTEX1D4
chr1	45174154	45381257	BTBD19
chr1	45185516	45408735	PTCH2
chr1	45216450	45552282	EIF2B3
chr1	45368212	45577001	HECTD3
chr1	45377819	45581247	UROD
chr1	45382071	45871881	ZSWIM5
chr1	45692545	45894347	HPDL
chr1	45694835	45906142	MUTYH
chr1	45705342	45909647	TOE1
chr1	45709555	46056872	TESK2
chr1	45859538	46065751	CCDC163P
chr1	45865725	46076739	MMACHC
chr1	45876708	46088719	PRDX1
chr1	45916215	46135721	AKR1A1
chr1	45949518	46184566	NASP
chr1	45985716	46189729	CCDC17
chr1	45992976	46253785	GPBP1L1
chr1	46052886	46260115	TMEM69
chr1	46059996	46316322	IPP
chr1	46152659	46601796	MAST2
chr1	46405812	46742160	PIK3R3
chr1	46540745	46751630	TSPAN1
chr1	46554354	46785977	POMGNT1
chr1	46569006	46786933	LURAP1
chr1	46613360	46844145	RAD54L
chr1	46626868	46869280	LRRC41
chr1	46669303	46882448	UQCRH
chr1	46705849	46930824	NSUN4
chr1	46759937	46979520	FAAH
chr1	46872668	47079898	DMBX1
chr1	46911316	47117199	KNCN
chr1	46923090	47182515	MKNK1
chr1	46973387	47182563	MOB3C
chr1	46998409	47239539	ATPAF1
chr1	47024366	47284824	EFCAB14
chr1	47034527	47239266	TEX38
chr1	47123510	47385085	CYP4B1
chr1	47294849	47507156	CYP4A11
chr1	47327036	47616423	CYP4X1
chr1	47433160	47683991	CYP4Z1
chr1	47503107	47715413	CYP4A22
chr1	47549265	47756716	PDZK1IP1
chr1	47581962	47797892	TAL1
chr1	47615811	47879819	STIL
chr1	47699469	47944511	CMPK1
chr1	47781744	47983723	FOXE3
chr1	47801689	48006363	FOXD2
chr1	48126200	48562567	TRABD2B
chr1	48126979	48327290	FLJ00388
chr1	48469306	48669878	AL109659.1
chr1	48588357	48814316	SLC5A9
chr1	48661044	49037845	SPATA6
chr1	48898527	50589585	AGBL4
chr1	49093195	49342641	BEND5
chr1	50359990	50561874	AL645730.2
chr1	50413686	50769458	ELAVL4
chr1	50783222	50989172	DMRTA2
chr1	50805150	51525935	FAF1
chr1	51326417	51540305	CDKN2C
chr1	51467906	51713752	C1orf185
chr1	51601943	51839127	RNF11
chr1	51652930	51910788	TTC39A
chr1	51719935	52085000	EPS15
chr1	51942851	52354889	OSBPL9
chr1	52154863	52444477	NRD1
chr1	52273628	52556436	RAB3B
chr1	52385803	52621843	TXNDC12
chr1	52397775	52599488	KTI12
chr1	52421797	52656388	BTF3L4
chr1	52508046	52912358	ZFYVE9
chr1	52711395	52931865	CC2D1B
chr1	52738501	52970131	ORC1
chr1	52770236	52986511	PRPF38A
chr1	52773954	53119159	ZCCHC11
chr1	52968044	53174723	GPX7
chr1	52999016	53235355	FAM159A
chr1	53052508	53264038	COA7
chr1	53092126	53393014	ZYG11B
chr1	53208183	53460670	ZYG11A
chr1	53261656	53492884	ECHDC2
chr1	53292901	53617375	SCP2
chr1	53427854	53651174	PODN
chr1	53452855	53708289	SLC1A7
chr1	53562101	53779869	CPT2
chr1	53579771	53786289	C1orf123
chr1	53592564	53804282	MAGOH
chr1	53611217	53893742	LRP8
chr1	53825072	54033161	DMRTB1
chr1	53871910	54299877	GLIS1
chr1	54131133	54404533	NDC1
chr1	54217392	54456407	YIPF1
chr1	54256912	54476759	DIO1
chr1	54282247	54511602	HSPB11
chr1	54311750	54533841	LRRC42
chr1	54374412	54583856	LDLRAD1
chr1	54397347	54619177	TMEM59
chr1	54419260	54678192	TCEANC2
chr1	54469968	54671750	AL161915.1
chr1	54498747	54719443	CDCP2
chr1	54506897	54765746	RP11-446E24.4
chr1	54535333	54737997	AL357673.1
chr1	54538009	54765709	CYB5RL
chr1	54549714	54791137	MRPL37
chr1	54591105	54979152	SSBP3
chr1	54603710	54804736	SSBP3-AS1
chr1	54907930	55204865	ACOT11
chr1	54974855	55189229	FAM151A
chr1	55007459	55307981	MROH7-TTC4
chr1	55007463	55275939	MROH7
chr1	55081495	55308330	TTC4
chr1	55122571	55330187	PARS2
chr1	55145385	55366940	TTC22
chr1	55171736	55407925	C1orf177
chr1	55215306	55452891	DHCR24
chr1	55346465	55557966	TMEM61
chr1	55364606	55576556	BSND
chr1	55405221	55630525	PCSK9
chr1	55432032	55780786	USP24
chr1	56860419	57210974	PPAP2B
chr1	57010995	57281008	PRKAA2
chr1	57084477	57385369	C1orf168
chr1	57220479	57483894	C8A
chr1	57294883	57531813	C8B
chr1	57360451	59112406	DAB1
chr1	58781056	59112474	OMA1
chr1	58941099	59143166	TACSTD2
chr1	59020411	59265764	MYSM1
chr1	59146465	59349785	JUN
chr1	59662310	60333347	FGGY
chr1	60180458	60442050	HOOK1
chr1	60258980	60492462	CYP2J2
chr1	60352941	60639442	C1orf87
chr1	61230931	62028465	NFIA
chr1	62046718	62291095	TM2D1
chr1	62108149	62729592	INADL
chr1	62560503	62778000	L1TD1
chr1	62602651	62885085	KANK4
chr1	62801968	63017475	USP1
chr1	62820399	63253969	DOCK7
chr1	62963158	63171830	ANGPTL3
chr1	62973437	63175249	AL138847.1
chr1	63149806	63431184	ATG4C
chr1	63688730	63890797	FOXD3
